message,status
"2023-01-16 07:03:02 [main] INFO com.example.UserService - Adding a new user: First Name=Shalv, Last Name=Kara, Email=akapur@example.org, Age=50",normal
"2023-05-31 01:09:36 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=anahita38@example.com, Age=70",normal
"2023-04-18 05:20:45 [main] INFO com.example.UserService - Adding a new user: First Name=Kaira, Last Name=Joshi, Email=zaina91@example.net, Age=31",normal
"2023-03-07 15:39:02 [main] INFO com.example.UserService - Adding a new user: First Name=Advika, Last Name=Wadhwa, Email=charvireddy@example.net, Age=39",normal
"2023-01-18 11:52:28 [main] INFO com.example.UserService - Adding a new user: First Name=Adah, Last Name=Krishnan, Email=dasguptanirvi@example.com, Age=26",normal
"2023-04-07 03:12:56 [main] INFO com.example.UserService - Adding a new user: First Name=Keya, Last Name=Kala, Email=lakshit85@example.com, Age=22",normal
"2023-05-13 21:45:23 [main] INFO com.example.UserService - Adding a new user: First Name=Saira, Last Name=<IMG src=""..""/>, Email=pihukorpal@example.net, Age=47",anomaly
"2023-02-05 08:07:30 [main] INFO com.example.UserService - Adding a new user: First Name=Prerak, Last Name=Mander, Email=miraan85@example.org, Age=43",normal
"2023-05-23 08:21:30 [main] INFO com.example.UserService - Adding a new user: First Name=Armaan, Last Name=Guha, Email=aayush43@example.com, Age=35",normal
"2023-01-28 11:04:32 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=CONNECT 172.65.27.22 HOME, Email=manneoorja@example.com, Age=44",anomaly
"2023-03-16 07:39:33 [main] INFO com.example.UserService - Adding a new user: First Name=Aarush, Last Name=null, Email=khuranaadah@example.org, Age=20",normal
"2023-01-07 15:02:58 [main] INFO com.example.UserService - Adding a new user: First Name=Pranay, Last Name=Balakrishnan, Email=kavya13@example.org, Age=26",normal
"2023-02-27 12:54:59 [main] INFO com.example.UserService - Adding a new user: First Name=Vardaniya, Last Name=Hayre, Email=aradhya53@example.com, Age=56",normal
"2023-05-26 09:51:24 [main] INFO com.example.UserService - Adding a new user: First Name=Anaya, Last Name=CONNECT 172.65.27.22 HOME, Email=mandasara@example.net, Age=47",anomaly
"2023-05-12 03:05:02 [main] INFO com.example.UserService - Adding a new user: First Name=Anahita, Last Name=CONNECT 172.65.27.22 HOME, Email=lankamamooty@example.org, Age=53",anomaly
"2023-02-08 09:40:26 [main] INFO com.example.UserService - Adding a new user: First Name=Adah, Last Name=Kulkarni, Email=pranaysarraf@example.net, Age=51",normal
"2023-02-16 23:36:47 [main] INFO com.example.UserService - Adding a new user: First Name=Nishith, Last Name=Agarwal, Email=hrama@example.net, Age=50",normal
"2023-05-15 02:31:25 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=vdara@example.com, Age=52",normal
"2023-04-21 10:41:47 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=Mahal, Email=hkoshy@example.org, Age=63",normal
"2023-03-22 03:01:37 [main] INFO com.example.UserService - Adding a new user: First Name=Advika, Last Name=Ganguly, Email=taranzacharia@example.net, Age=46",normal
"2023-02-14 01:39:18 [main] INFO com.example.UserService - Adding a new user: First Name=Ehsaan, Last Name=<IMG src=""..""/>, Email=aarna36@example.org, Age=34",anomaly
"2023-04-11 03:39:12 [main] INFO com.example.UserService - Adding a new user: First Name=Jhanvi, Last Name=Doctor, Email=wablehimmat@example.net, Age=66",normal
"2023-03-03 01:15:35 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=bariaryan@example.org, Age=19",normal
"2023-05-06 15:26:00 [main] INFO com.example.UserService - Adding a new user: First Name=Akarsh, Last Name=Taneja, Email=manialisha@example.com, Age=35",normal
"2023-03-07 14:51:39 [main] INFO com.example.UserService - Adding a new user: First Name=Ritvik, Last Name=Sridhar, Email=osarraf@example.com, Age=59",normal
"2023-02-27 09:34:05 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=bariarati@example.net, Age=26",normal
"2023-01-03 21:13:00 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=CONNECT 172.65.27.22 HOME, Email=amaniray@example.com, Age=34",anomaly
"2023-01-11 14:56:52 [main] INFO com.example.UserService - Adding a new user: First Name=Nayantara, Last Name=Kumar, Email=ttak@example.com, Age=63",normal
"2023-02-18 11:40:00 [main] INFO com.example.UserService - Adding a new user: First Name=Indrajit, Last Name=Kannan, Email=raunaktiwari@example.com, Age=27",normal
"2023-02-16 12:57:41 [main] INFO com.example.UserService - Adding a new user: First Name=Dhanuk, Last Name=Grewal, Email=krishnanadvika@example.com, Age=63",normal
"2023-02-15 00:12:42 [main] INFO com.example.UserService - Adding a new user: First Name=Heer, Last Name=Sheth, Email=gollahazel@example.com, Age=34",normal
"2023-05-07 10:10:37 [main] INFO com.example.UserService - Adding a new user: First Name=Indrans, Last Name=Kota, Email=shaanbala@example.com, Age=23",normal
"2023-04-27 16:59:09 [main] INFO com.example.UserService - Adding a new user: First Name=Prisha, Last Name=Yogi, Email=boaseyashvi@example.org, Age=23",normal
"2023-02-18 13:47:59 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=nishith48@example.net, Age=26",normal
"2023-01-16 19:43:56 [main] INFO com.example.UserService - Adding a new user: First Name=Miraya, Last Name=Basak, Email=jhaverimyra@example.com, Age=60",normal
"2023-03-30 19:04:48 [main] INFO com.example.UserService - Adding a new user: First Name=Kismat, Last Name=CONNECT 172.65.27.22 HOME, Email=devansh19@example.net, Age=51",anomaly
"2023-03-22 09:09:48 [main] INFO com.example.UserService - Adding a new user: First Name=Tushar, Last Name=Mand, Email=romil84@example.org, Age=55",normal
"2023-02-01 01:45:27 [main] INFO com.example.UserService - Adding a new user: First Name=Samaira, Last Name=Sidhu, Email=balayzaina@example.net, Age=30",normal
"2023-02-26 06:31:48 [main] INFO com.example.UserService - Adding a new user: First Name=Eva, Last Name=<IMG src=""..""/>, Email=badalkeer@example.com, Age=54",anomaly
"2023-03-29 19:29:57 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=jhanvi63@example.com, Age=70",normal
"2023-03-02 10:30:41 [main] INFO com.example.UserService - Adding a new user: First Name=Zaina, Last Name=CONNECT 172.65.27.22 HOME, Email=keyabadal@example.com, Age=40",anomaly
"2023-03-21 22:27:21 [main] INFO com.example.UserService - Adding a new user: First Name=Amira, Last Name=CONNECT 172.65.27.22 HOME, Email=armaan95@example.org, Age=21",anomaly
"2023-01-27 02:06:28 [main] INFO com.example.UserService - Adding a new user: First Name=Miraan, Last Name=Hora, Email=navyakibe@example.net, Age=48",normal
"2023-01-02 17:16:15 [main] INFO com.example.UserService - Adding a new user: First Name=Umang, Last Name=Wason, Email=saksham60@example.net, Age=64",normal
"2023-02-26 11:49:35 [main] INFO com.example.UserService - Adding a new user: First Name=Aradhya, Last Name=Sant, Email=dharkavya@example.com, Age=58",normal
"2023-01-23 11:38:05 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=shankerraghav@example.org, Age=54",normal
"2023-04-02 10:45:49 [main] INFO com.example.UserService - Adding a new user: First Name=Gatik, Last Name=Bansal, Email=uthkarsh89@example.com, Age=19",normal
"2023-05-19 18:17:45 [main] INFO com.example.UserService - Adding a new user: First Name=Vidur, Last Name=Bassi, Email=rde@example.org, Age=55",normal
"2023-01-02 21:30:38 [main] INFO com.example.UserService - Adding a new user: First Name=Shamik, Last Name=Wagle, Email=bhavin15@example.com, Age=68",normal
"2023-01-20 20:47:37 [main] INFO com.example.UserService - Adding a new user: First Name=Zara, Last Name=CONNECT 172.65.27.22 HOME, Email=divitkrish@example.org, Age=60",anomaly
"2023-05-23 00:06:14 [main] INFO com.example.UserService - Adding a new user: First Name=Fateh, Last Name=CONNECT 172.65.27.22 HOME, Email=aaravamble@example.org, Age=60",anomaly
"2023-02-06 08:35:18 [main] INFO com.example.UserService - Adding a new user: First Name=Tejas, Last Name=CONNECT 172.65.27.22 HOME, Email=wagarwal@example.net, Age=23",anomaly
"2023-04-25 00:39:12 [main] INFO com.example.UserService - Adding a new user: First Name=Emir, Last Name=Uppal, Email=yashviwadhwa@example.org, Age=40",normal
"2023-05-08 20:11:58 [main] INFO com.example.UserService - Adding a new user: First Name=Miraan, Last Name=null, Email=gatikkurian@example.com, Age=61",normal
"2023-01-22 10:12:29 [main] INFO com.example.UserService - Adding a new user: First Name=Zeeshan, Last Name=Kashyap, Email=gghose@example.net, Age=25",normal
"2023-02-07 20:28:46 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=Seth, Email=alishaarora@example.net, Age=57",normal
"2023-01-24 23:51:38 [main] INFO com.example.UserService - Adding a new user: First Name=Vidur, Last Name=Gara, Email=madhav24@example.net, Age=53",normal
"2023-02-19 20:58:02 [main] INFO com.example.UserService - Adding a new user: First Name=Amira, Last Name=<IMG src=""..""/>, Email=grewalbaiju@example.com, Age=58",anomaly
"2023-03-27 06:01:01 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=darya@example.com, Age=18",normal
"2023-01-21 03:57:49 [main] INFO com.example.UserService - Adding a new user: First Name=Emir, Last Name=<IMG src=""..""/>, Email=dixitivana@example.com, Age=50",anomaly
"2023-04-25 19:11:59 [main] INFO com.example.UserService - Adding a new user: First Name=Keya, Last Name=Banerjee, Email=jhora@example.org, Age=38",normal
"2023-03-05 03:45:50 [main] INFO com.example.UserService - Adding a new user: First Name=Mannat, Last Name=Buch, Email=rania87@example.org, Age=57",normal
"2023-04-08 22:05:02 [main] INFO com.example.UserService - Adding a new user: First Name=Eva, Last Name=Sharaf, Email=lsahni@example.com, Age=41",normal
"2023-04-12 20:09:56 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=qshetty@example.com, Age=31",normal
"2023-04-12 12:05:12 [main] INFO com.example.UserService - Adding a new user: First Name=Tushar, Last Name=Bawa, Email=neelofar35@example.net, Age=70",normal
"2023-02-26 05:10:21 [main] INFO com.example.UserService - Adding a new user: First Name=Mehul, Last Name=Choudhury, Email=kalitaira@example.net, Age=31",normal
"2023-02-10 19:16:12 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=mallickfaiyaz@example.com, Age=30",normal
"2023-03-01 05:58:43 [main] INFO com.example.UserService - Adding a new user: First Name=Inaaya , Last Name=null, Email=neelofar87@example.net, Age=46",normal
"2023-01-06 11:22:26 [main] INFO com.example.UserService - Adding a new user: First Name=Aarav, Last Name=Subramaniam, Email=chanaraghav@example.org, Age=38",normal
"2023-04-27 19:36:47 [main] INFO com.example.UserService - Adding a new user: First Name=Riya, Last Name=Tara, Email=zainahuja@example.com, Age=67",normal
"2023-04-04 14:43:18 [main] INFO com.example.UserService - Adding a new user: First Name=Hridaan, Last Name=Zachariah, Email=choudhryzain@example.org, Age=40",normal
"2023-01-18 01:18:21 [main] INFO com.example.UserService - Adding a new user: First Name=Ishaan, Last Name=Bhat, Email=madhavbasak@example.com, Age=38",normal
"2023-04-27 19:58:23 [main] INFO com.example.UserService - Adding a new user: First Name=Pihu, Last Name=Bawa, Email=riyachacko@example.com, Age=70",normal
"2023-04-01 01:15:13 [main] INFO com.example.UserService - Adding a new user: First Name=Damini, Last Name=Sahota, Email=keeronkar@example.org, Age=55",normal
"2023-03-25 13:42:16 [main] INFO com.example.UserService - Adding a new user: First Name=Advik, Last Name=null, Email=adira15@example.org, Age=36",normal
"2023-02-25 18:22:41 [main] INFO com.example.UserService - Adding a new user: First Name=Lagan, Last Name=Shroff, Email=anikachaudhuri@example.net, Age=52",normal
"2023-02-01 06:16:25 [main] INFO com.example.UserService - Adding a new user: First Name=Vritika, Last Name=CONNECT 172.65.27.22 HOME, Email=duttsumer@example.org, Age=51",anomaly
"2023-03-26 18:09:36 [main] INFO com.example.UserService - Adding a new user: First Name=Akarsh, Last Name=Dara, Email=majumdarsumer@example.com, Age=65",normal
"2023-05-13 18:04:45 [main] INFO com.example.UserService - Adding a new user: First Name=Riya, Last Name=Dey, Email=pihu60@example.net, Age=27",normal
"2023-01-29 22:10:42 [main] INFO com.example.UserService - Adding a new user: First Name=Saksham, Last Name=CONNECT 172.65.27.22 HOME, Email=taranswaminathan@example.net, Age=62",anomaly
"2023-04-14 15:37:34 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=sommamooty@example.com, Age=24",normal
"2023-04-05 13:20:33 [main] INFO com.example.UserService - Adding a new user: First Name=Siya, Last Name=Wali, Email=kapoorlakshit@example.net, Age=62",normal
"2023-05-01 11:22:29 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=Sarma, Email=semkashvi@example.net, Age=35",normal
"2023-02-16 10:19:18 [main] INFO com.example.UserService - Adding a new user: First Name=Zara, Last Name=null, Email=rasha34@example.com, Age=66",normal
"2023-05-12 19:07:19 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=vkhatri@example.org, Age=61",normal
"2023-04-09 00:42:02 [main] INFO com.example.UserService - Adding a new user: First Name=Shayak, Last Name=Sangha, Email=vbera@example.com, Age=36",normal
"2023-01-16 21:22:43 [main] INFO com.example.UserService - Adding a new user: First Name=Rati, Last Name=Kala, Email=bobaladvika@example.org, Age=30",normal
"2023-05-14 14:26:30 [main] INFO com.example.UserService - Adding a new user: First Name=Neelofar, Last Name=Rege, Email=divyanshkota@example.com, Age=63",normal
"2023-03-07 19:38:51 [main] INFO com.example.UserService - Adding a new user: First Name=Charvi, Last Name=CONNECT 172.65.27.22 HOME, Email=ekalita@example.net, Age=44",anomaly
