message,status
"2023-03-27 05:09:08 [main] INFO com.example.UserService - Adding a new user: First Name=Nishith, Last Name=Kar, Email=svohra@example.net, Age=50",normal
"2023-02-07 14:07:21 [main] INFO com.example.UserService - Adding a new user: First Name=Anay, Last Name=Vora, Email=cyogi@example.com, Age=66",normal
"2023-04-22 04:06:04 [main] INFO com.example.UserService - Adding a new user: First Name=Kashvi, Last Name=Sastry, Email=schandran@example.com, Age=36",normal
"2023-03-05 16:23:26 [main] INFO com.example.UserService - Adding a new user: First Name=Arhaan, Last Name=Kurian, Email=ivanadua@example.com, Age=46",normal
"2023-05-18 13:24:55 [main] INFO com.example.UserService - Adding a new user: First Name=Vihaan, Last Name=Garde, Email=gokulbhargava@example.org, Age=46",normal
"2023-03-07 05:28:36 [main] INFO com.example.UserService - Adding a new user: First Name=Divit, Last Name=Sani, Email=vsandhu@example.net, Age=22",normal
"2023-02-22 16:32:42 [main] INFO com.example.UserService - Adding a new user: First Name=Zoya, Last Name=Chauhan, Email=yashvi48@example.com, Age=26",normal
"2023-04-04 01:59:48 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=null, Email=rati34@example.net, Age=57",normal
"2023-02-28 10:25:13 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=Ravi, Email=kartiklad@example.org, Age=25",normal
"2023-03-13 14:15:53 [main] INFO com.example.UserService - Adding a new user: First Name=Khushi, Last Name=Lata, Email=tboase@example.org, Age=40",normal
"2023-03-31 19:17:12 [main] INFO com.example.UserService - Adding a new user: First Name=Ela, Last Name=Deep, Email=gokul96@example.org, Age=26",normal
"2023-05-03 18:07:02 [main] INFO com.example.UserService - Adding a new user: First Name=Ira, Last Name=CONNECT 172.65.27.22 HOME, Email=batrarenee@example.com, Age=47",anomaly
"2023-04-11 18:20:15 [main] INFO com.example.UserService - Adding a new user: First Name=Oorja, Last Name=CONNECT 172.65.27.22 HOME, Email=hunar90@example.net, Age=61",anomaly
"2023-04-29 21:57:08 [main] INFO com.example.UserService - Adding a new user: First Name=Shamik, Last Name=CONNECT 172.65.27.22 HOME, Email=msarin@example.net, Age=58",anomaly
"2023-03-03 00:33:04 [main] INFO com.example.UserService - Adding a new user: First Name=Miraan, Last Name=Biswas, Email=dasguptaryan@example.net, Age=67",normal
"2023-01-07 21:14:52 [main] INFO com.example.UserService - Adding a new user: First Name=Aarush, Last Name=Sharma, Email=chiragraja@example.org, Age=60",normal
"2023-01-09 01:42:14 [main] INFO com.example.UserService - Adding a new user: First Name=Dhanush, Last Name=Kunda, Email=ramemir@example.org, Age=35",normal
"2023-02-11 20:33:51 [main] INFO com.example.UserService - Adding a new user: First Name=Parinaaz, Last Name=null, Email=aroradrishya@example.net, Age=18",normal
"2023-04-04 13:59:28 [main] INFO com.example.UserService - Adding a new user: First Name=Renee, Last Name=Bhandari, Email=parilall@example.com, Age=30",normal
"2023-02-23 08:56:13 [main] INFO com.example.UserService - Adding a new user: First Name=Miraya, Last Name=null, Email=aarna94@example.net, Age=36",normal
"2023-02-03 12:58:32 [main] INFO com.example.UserService - Adding a new user: First Name=null, Last Name=Gade, Email=daschirag@example.org, Age=34",normal
